name,lastName,firstName,middleName,sex,alreadyInParliament,birthDate,jobTitle,partyRaw,party,promotionType,homeAddressRaw,homeAddress,candidateDetailsUrl,electionDistrict,electionDistrictNumber,electionDistrictCapacity,electionDistrictCandidates,electionDistrictRegion
Матвеев Александр Олегович,Матвеев,Александр,Олегович,M,0,1972,водитель ПУП «Витебсквторчермет»,член Коммунистической партии Беларуси,член Коммунистической партии Беларуси,политическая партия,г. Витебск,г. Витебск,/candidates/019-3.html,Витебский-Железнодорожный избирательный округ,19,64519,6,Витебская область
Мирсалимова Эльвира Эльдаровна,Мирсалимова,Эльвира,Эльдаровна,F,0,1981,специалист по маркетингу ООО «Гидропресс»,член Республиканской партии труда и справедливости,член Республиканской партии труда и справедливости,политическая партия,г. Витебск,г. Витебск,/candidates/019-4.html,Витебский-Железнодорожный избирательный округ,19,64519,6,Витебская область
Наумович Максим Дмитриевич,Наумович,Максим,Дмитриевич,M,0,1981,"заместитель директора по производству унитарного предприятия «Элект» ОО «БелТИЗ», 	заместитель директора по коммерческим вопросам ОАО «Данко»",член Либерально-демократической партии,член Либерально-демократической партии,политическая партия,г. Витебск,г. Витебск,/candidates/019-5.html,Витебский-Железнодорожный избирательный округ,19,64519,6,Витебская область
Симанкович Владимир Альфредович,Симанкович,Владимир,Альфредович,M,0,1965,ремесленник,член Партии БНФ,член Партии БНФ,политическая партия,г. Витебск,г. Витебск,/candidates/019-6.html,Витебский-Железнодорожный избирательный округ,19,64519,6,Витебская область
Егоров Алексей Владимирович,Егоров,Алексей,Владимирович,M,0,1969,ректор Витебского государственного университета имени П.М.Машерова,беспартийный,не состоит в партии,"сбор подписей избирателей, трудовой коллектив",г. Полоцк,г. Полоцк,/candidates/020-1.html,Витебский-Октябрьский избирательный округ,20,62210,4,Витебская область
Инц Евгений Петрович,Инц,Евгений,Петрович,M,0,1955,пенсионер,член Белорусской партии левых «Справедливый мир»,член Белорусской партии левых «Справедливый мир»,политическая партия,г. Витебск,г. Витебск,/candidates/020-2.html,Витебский-Октябрьский избирательный округ,20,62210,4,Витебская область
Красакова Татьяна Владимировна,Красакова,Татьяна,Владимировна,F,0,1985,первый секретарь Витебского городского комитета ОО «Белорусский республиканский союз молодежи»,беспартийная,не состоит в партии,трудовой коллектив,г. Витебск,г. Витебск,/candidates/020-3.html,Витебский-Октябрьский избирательный округ,20,62210,4,Витебская область
Нищименко Сергей Аркадьевич,Нищименко,Сергей,Аркадьевич,M,0,1971,заместитель главного инженера ООО «Строительная компания РУМстрой»,член Коммунистической партии Беларуси,член Коммунистической партии Беларуси,политическая партия,г. Витебск,г. Витебск,/candidates/020-4.html,Витебский-Октябрьский избирательный округ,20,62210,4,Витебская область
Лыхолат Максим Александрович,Лыхолат,Максим,Александрович,M,0,1983,заместитель начальника отдела землеустройства Городокского районного исполнительного комитета,член Коммунистической партии Беларуси,член Коммунистической партии Беларуси,политическая партия,г. Городок,г. Городок,/candidates/021-1.html,Городокский избирательный округ,21,63971,4,Витебская область
Полякова Ирина Михайловна,Полякова,Ирина,Михайловна,F,0,1979,председатель Витебской районной профсоюзной организации Белорусского профессионального союза работников агропромышленного комплекса,беспартийная,не состоит в партии,"сбор подписей избирателей, трудовой коллектив","д. Подберезье, Витебский район","д. Подберезье, Витебский район",/candidates/021-2.html,Городокский избирательный округ,21,63971,4,Витебская область
Федьков Григорий Сергеевич,Федьков,Григорий,Сергеевич,M,0,1954,профессор кафедры изобразительного искусства Витебского государственного университета имени П.М.Машерова,член Либерально-демократической партии,член Либерально-демократической партии,политическая партия,г. Витебск,г. Витебск,/candidates/021-3.html,Городокский избирательный округ,21,63971,4,Витебская область
Щемлёв Александр Михайлович,Щемлёв,Александр,Михайлович,M,0,1957,временно не работает,член Белорусской социал-демократической партии (Грамада),член Белорусской социал-демократической партии (Грамада),политическая партия,"д. Амбросовичи, Шумилинский район","д. Амбросовичи, Шумилинский район",/candidates/021-4.html,Городокский избирательный округ,21,63971,4,Витебская область
Андрейченко Владимир Павлович,Андрейченко,Владимир,Павлович,M,1,1949,Председатель Палаты представителей Национального собрания Республики Беларусь,беспартийный,не состоит в партии,"сбор подписей избирателей, трудовой коллектив",г. Минск,г. Минск,/candidates/022-1.html,Докшицкий избирательный округ,22,56772,4,Витебская область
Васильева Оливия Сергеевна,Васильева,Оливия,Сергеевна,F,0,1986,осуществляет уход за ребенком-инвалидом в возрасте до 18 лет,член Республиканской партии труда и справедливости,член Республиканской партии труда и справедливости,политическая партия,г. Новополоцк,г. Новополоцк,/candidates/022-2.html,Докшицкий избирательный округ,22,56772,4,Витебская область
Тепляков Игорь Петрович,Тепляков,Игорь,Петрович,M,0,1972,индивидуальный предприниматель,член Либерально-демократической партии,член Либерально-демократической партии,политическая партия,г. Витебск,г. Витебск,/candidates/022-3.html,Докшицкий избирательный округ,22,56772,4,Витебская область
Шульгат Ядвига Иосифовна,Шульгат,Ядвига,Иосифовна,F,0,1962,председатель Докшицкого районного объединения профсоюзов,беспартийная,не состоит в партии,трудовой коллектив,г. Докшицы,г. Докшицы,/candidates/022-4.html,Докшицкий избирательный округ,22,56772,4,Витебская область
Буйлов Андрей Владимирович,Буйлов,Андрей,Владимирович,M,0,1984,директор средней школы № 2 г.п.Бешенковичи,беспартийный,не состоит в партии,трудовой коллектив,г.п. Бешенковичи,г.п. Бешенковичи,/candidates/023-1.html,Лепельский избирательный округ,23,62673,7,Витебская область
Гречко Андрей Евгеньевич,Гречко,Андрей,Евгеньевич,M,0,1988,начальник конструкторского отдела ООО «Гидропресс»,член Республиканской партии труда и справедливости,член Республиканской партии труда и справедливости,политическая партия,г. Полоцк,г. Полоцк,/candidates/023-2.html,Лепельский избирательный округ,23,62673,7,Витебская область
Левачёв Егор Васильевич,Левачёв,Егор,Васильевич,M,0,1993,работает по договору возмездного оказания услуг в ООО «Анкор кадровые решения»,беспартийный,не состоит в партии,сбор подписей избирателей,г.п. Бешенковичи,г.п. Бешенковичи,/candidates/023-3.html,Лепельский избирательный округ,23,62673,7,Витебская область
Мартынов Игорь Феликсович,Мартынов,Игорь,Феликсович,M,1,1965,депутат Палаты представителей Национального собрания Республики Беларусь,беспартийный,не состоит в партии,"сбор подписей избирателей, трудовой коллектив",г. Минск,г. Минск,/candidates/023-4.html,Лепельский избирательный округ,23,62673,7,Витебская область
Федьков Андрей Григорьевич,Федьков,Андрей,Григорьевич,M,0,1988,директор ООО «Белрайэлектромонтаж»,член Либерально-демократической партии,член Либерально-демократической партии,политическая партия,г. Витебск,г. Витебск,/candidates/023-5.html,Лепельский избирательный округ,23,62673,7,Витебская область
Чуес Григорий Михайлович,Чуес,Григорий,Михайлович,M,0,1958,технолог отдела заготовок филиала «Лепельский МКК» ОАО «Витебский мясокомбинат»,член Коммунистической партии Беларуси,член Коммунистической партии Беларуси,политическая партия,"аг. Стаи, Лепельский район","аг. Стаи, Лепельский район",/candidates/023-6.html,Лепельский избирательный округ,23,62673,7,Витебская область
Юбко Иван Леонидович,Юбко,Иван,Леонидович,M,0,1957,пенсионер,член Белорусской социал-демократической партии (Грамада),член Белорусской социал-демократической партии (Грамада),политическая партия,г. Новолукомль,г. Новолукомль,/candidates/023-7.html,Лепельский избирательный округ,23,62673,7,Витебская область
Велюго Сергей Николаевич,Велюго,Сергей,Николаевич,M,0,1979,директор УП «Биомехзавод бытовых вторичных ресурсов»,беспартийный,не состоит в партии,трудовой коллектив,г. Новополоцк,г. Новополоцк,/candidates/024-1.html,Новополоцкий избирательный округ,24,69074,7,Витебская область
Воложёнок Валерий Войтехович,Воложёнок,Валерий,Войтехович,M,0,1967,инженер по охране труда – начальник транспортного отдела Миорского райпо,член Объединенной гражданской партии,член Объединенной гражданской партии,политическая партия,г. Миоры,г. Миоры,/candidates/024-2.html,Новополоцкий избирательный округ,24,69074,7,Витебская область
Дамаскина Ольга Фёдоровна,Дамаскина,Ольга,Фёдоровна,F,0,1973,директор учреждения «Информационно-культурный центр ИнициАрт»,член Партии БНФ,член Партии БНФ,политическая партия,г. Новополоцк,г. Новополоцк,/candidates/024-3.html,Новополоцкий избирательный округ,24,69074,7,Витебская область
Карась Денис Николаевич,Карась,Денис,Николаевич,M,0,1978,начальник установки ОАО «Нафтан»,беспартийный,не состоит в партии,"сбор подписей избирателей, трудовой коллектив",г. Новополоцк,г. Новополоцк,/candidates/024-4.html,Новополоцкий избирательный округ,24,69074,7,Витебская область
Коваленко Николай Николаевич,Коваленко,Николай,Николаевич,M,0,1990,временно не работает,беспартийный,не состоит в партии,сбор подписей избирателей,г. Новополоцк,г. Новополоцк,/candidates/024-5.html,Новополоцкий избирательный округ,24,69074,7,Витебская область
Макеев Андрей Александрович,Макеев,Андрей,Александрович,M,0,1981,начальник КУП «Витебское областное архитектурно-проектное бюро»,член Либерально-демократической партии,член Либерально-демократической партии,политическая партия,г. Витебск,г. Витебск,/candidates/024-6.html,Новополоцкий избирательный округ,24,69074,7,Витебская область
Шалак Александр Николаевич,Шалак,Александр,Николаевич,M,0,1972,директор ПГУП «Гефестион»,член Коммунистической партии Беларуси,член Коммунистической партии Беларуси,политическая партия,г. Новополоцк,г. Новополоцк,/candidates/024-7.html,Новополоцкий избирательный округ,24,69074,7,Витебская область
Демидов Николай Васильевич,Демидов,Николай,Васильевич,M,0,1951,пенсионер,член Белорусской партии левых «Справедливый мир»,член Белорусской партии левых «Справедливый мир»,политическая партия,г. Орша,г. Орша,/candidates/025-1.html,Оршанский городской избирательный округ,25,60268,7,Витебская область
Жудро Сергей Дмитриевич,Жудро,Сергей,Дмитриевич,M,0,1971,главный инженер ЧТУП «Сергеев В»,член Коммунистической партии Беларуси,член Коммунистической партии Беларуси,политическая партия,г. Орша,г. Орша,/candidates/025-2.html,Оршанский городской избирательный округ,25,60268,7,Витебская область
Козлов Дмитрий Олегович,Козлов,Дмитрий,Олегович,M,0,1988,временно не работает,член Партии БНФ,член Партии БНФ,политическая партия,"г. Барань, Оршанский район","г. Барань, Оршанский район",/candidates/025-3.html,Оршанский городской избирательный округ,25,60268,7,Витебская область
Крачек Инна Юрьевна,Крачек,Инна,Юрьевна,F,0,1964,заведующий городским родильным домом Оршанской центральной поликлиники,беспартийная,не состоит в партии,"сбор подписей избирателей, трудовой коллектив",г. Орша,г. Орша,/candidates/025-4.html,Оршанский городской избирательный округ,25,60268,7,Витебская область
Поздняков Евгений Борисович,Поздняков,Евгений,Борисович,M,0,1972,заместитель директора ООО «ЕвроМиТе-строй»,член Либерально-демократической партии,член Либерально-демократической партии,политическая партия,"г. Барань, Оршанский район","г. Барань, Оршанский район",/candidates/025-5.html,Оршанский городской избирательный округ,25,60268,7,Витебская область
Прокопчук Сергей Иванович,Прокопчук,Сергей,Иванович,M,0,1961,заместитель директора по производству ООО «Строительная компания «Самтэк»,член Объединённой гражданской партии,член Объединенной гражданской партии,политическая партия,г. Орша,г. Орша,/candidates/025-6.html,Оршанский городской избирательный округ,25,60268,7,Витебская область
Савик Людмила Владимировна,Савик,Людмила,Владимировна,F,0,1963,заместитель руководителя ОАО «Орша-Сервис»,беспартийная,не состоит в партии,трудовой коллектив,г. Орша,г. Орша,/candidates/025-7.html,Оршанский городской избирательный округ,25,60268,7,Витебская область
Васюков Виталий Михайлович,Васюков,Виталий,Михайлович,M,0,1974,директор филиала № 215 ОАО «АСБ Беларусбанк»,беспартийный,не состоит в партии,трудовой коллектив,г. Орша,г. Орша,/candidates/026-1.html,Оршанский-Днепровский избирательный округ,26,58861,6,Витебская область
Дымков Василий Сергеевич,Дымков,Василий,Сергеевич,M,0,1954,руководитель физического воспитания Копысской детский сад - средней школы Оршанского района,беспартийный,не состоит в партии,сбор подписей избирателей,"г.п. Копысь, Оршанский район","г.п. Копысь, Оршанский район",/candidates/026-2.html,Оршанский-Днепровский избирательный округ,26,58861,6,Витебская область
Козлов Дмитрий Сергеевич,Козлов,Дмитрий,Сергеевич,M,0,1983,менеджер ОАО «Лидапище-концентраты»,член Либерально-демократической партии,член Либерально-демократической партии,политическая партия,"г. Барань, Оршанский район","г. Барань, Оршанский район",/candidates/026-3.html,Оршанский-Днепровский избирательный округ,26,58861,6,Витебская область
Колесникович Виктор Павлович,Колесникович,Виктор,Павлович,M,0,1967,доцент частного учреждения образования «БИП-Институт правоведения»,член Республиканской партии труда и справедливости,член Республиканской партии труда и справедливости,политическая партия,"д. Бровки, Минский район","д. Бровки, Минский район",/candidates/026-4.html,Оршанский-Днепровский избирательный округ,26,58861,6,Витебская область
Руголь Антон Валентинович,Руголь,Антон,Валентинович,M,0,1986,начальник участка ОАО «Завод «Легмаш»,член Коммунистической партии Беларуси,член Коммунистической партии Беларуси,политическая партия,г. Орша,г. Орша,/candidates/026-5.html,Оршанский-Днепровский избирательный округ,26,58861,6,Витебская область
Чудович Виталий Игоревич,Чудович,Виталий,Игоревич,M,1,1970,депутат Палаты представителей Национального собрания Республики Беларусь,беспартийный,не состоит в партии,"сбор подписей избирателей, трудовой коллектив",г. Минск,г. Минск,/candidates/026-6.html,Оршанский-Днепровский избирательный округ,26,58861,6,Витебская область
Волков Николай Петрович,Волков,Николай,Петрович,M,0,1976,"охранник центра банковских услуг № 214 службы технической и физической защиты филиала № 216 	Департамента безопасности ОАО «АСБ «Беларусбанк»",член Либерально-демократической партии,член Либерально-демократической партии,политическая партия,г.п. Россоны,г.п. Россоны,/candidates/027-1.html,Полоцкий городской избирательный округ,27,58772,4,Витебская область
Мамяков Андрей Сергеевич,Мамяков,Андрей,Сергеевич,M,0,1990,начальник коммерческого отдела ООО «Гидропресс»,член Республиканской партии труда и справедливости,член Республиканской партии труда и справедливости,политическая партия,г. Новополоцк,г. Новополоцк,/candidates/027-3.html,Полоцкий городской избирательный округ,27,58772,4,Витебская область
Одинцова Светлана Владимировна,Одинцова,Светлана,Владимировна,F,0,1964,заместитель главного врача Полоцкой центральной городской больницы,беспартийная,не состоит в партии,"сбор подписей избирателей, трудовой коллектив",г. Полоцк,г. Полоцк,/candidates/027-4.html,Полоцкий городской избирательный округ,27,58772,4,Витебская область
Трафименко Василий Юрьевич,Трафименко,Василий,Юрьевич,M,0,1956,пенсионер,член Коммунистической партии Беларуси,член Коммунистической партии Беларуси,политическая партия,"д. Кутняны, Полоцкий район","д. Кутняны, Полоцкий район",/candidates/027-5.html,Полоцкий городской избирательный округ,27,58772,4,Витебская область
Бондаренко Виктор Викторович,Бондаренко,Виктор,Викторович,M,0,1966,председатель Повятского сельского Совета депутатов,беспартийный,не состоит в партии,трудовой коллектив,г. Миоры,г. Миоры,/candidates/028-1.html,Полоцкий сельский избирательный округ,28,57988,5,Витебская область
Епишин Иван Геннадьевич,Епишин,Иван,Геннадьевич,M,0,1979,заместитель директора ООО «БП-Авто»,член Республиканской партии труда и справедливости,член Республиканской партии труда и справедливости,политическая партия,"д. Экимань, Полоцкий район","д. Экимань, Полоцкий район",/candidates/028-2.html,Полоцкий сельский избирательный округ,28,57988,5,Витебская область
Титов Леонид Егорович,Титов,Леонид,Егорович,M,0,1959,приемщик-отправитель ТПУП «БелВТИ-регион»,член Коммунистической партии Беларуси,член Коммунистической партии Беларуси,политическая партия,"д. Прудок, Полоцкий район","д. Прудок, Полоцкий район",/candidates/028-3.html,Полоцкий сельский избирательный округ,28,57988,5,Витебская область
Чакур Виктор Григорьевич,Чакур,Виктор,Григорьевич,M,0,1967,начальник караула стрелковой команды на станции Витебск Минского отряда Военизированной охраны Белорусской железной дороги,член Либерально-демократической партии,член Либерально-демократической партии,политическая партия,г. Витебск,г. Витебск,/candidates/028-4.html,Полоцкий сельский избирательный округ,28,57988,5,Витебская область
Шевчук Николай Николаевич,Шевчук,Николай,Николаевич,M,0,1959,председатель Полоцкого районного исполнительного комитета,беспартийный,не состоит в партии,"сбор подписей избирателей, трудовой коллектив",г. Полоцк,г. Полоцк,/candidates/028-5.html,Полоцкий сельский избирательный округ,28,57988,5,Витебская область
Василевская Елена Викторовна,Василевская,Елена,Викторовна,F,0,1980,директор ООО «ЕМС-Транс»,член Либерально-демократической партии,член Либерально-демократической партии,политическая партия,г. Витебск,г. Витебск,/candidates/029-1.html,Поставский избирательный округ,29,59502,4,Витебская область
Жук Вера Борисовна,Жук,Вера,Борисовна,F,0,1973,"начальник управления по труду, занятости и социальной защите Шарковщинского районного исполнительного комитета",беспартийная,не состоит в партии,трудовой коллектив,г.п. Шарковщина,г.п. Шарковщина,/candidates/029-2.html,Поставский избирательный округ,29,59502,4,Витебская область
Сильчёнок Павел Матвеевич,Сильчёнок,Павел,Матвеевич,M,0,1963,председатель Браславского районного объединения организации профсоюзов,беспартийный,не состоит в партии,"сбор подписей избирателей, трудовой коллектив","д. Луни, Браславский район","д. Луни, Браславский район",/candidates/029-3.html,Поставский избирательный округ,29,59502,4,Витебская область
Танана Дмитрий Владимирович,Танана,Дмитрий,Владимирович,M,0,1987,индивидуальный предприниматель,член Коммунистической партии Беларуси,член Коммунистической партии Беларуси,политическая партия,г. Поставы,г. Поставы,/candidates/029-4.html,Поставский избирательный округ,29,59502,4,Витебская область
Барышев Николай Евгеньевич,Барышев,Николай,Евгеньевич,M,0,1968,председатель Кохановского сельского исполнительного комитета,беспартийный,не состоит в партии,трудовой коллектив,"г.п. Коханово, Толочинский район","г.п. Коханово, Толочинский район",/candidates/030-1.html,Сенненский избирательный округ,30,58786,6,Витебская область
Дубов Александр Васильевич,Дубов,Александр,Васильевич,M,0,1955,заместитель Генерального прокурора Республики Беларусь,беспартийный,не состоит в партии,"сбор подписей избирателей, трудовой коллектив",г. Минск,г. Минск,/candidates/030-2.html,Сенненский избирательный округ,30,58786,6,Витебская область
Лемешев Сергей Адамович,Лемешев,Сергей,Адамович,M,0,1966,индивидуальный предприниматель,член Коммунистической партии Беларуси,член Коммунистической партии Беларуси,политическая партия,г. Сенно,г. Сенно,/candidates/030-3.html,Сенненский избирательный округ,30,58786,6,Витебская область
Ровнейко Анатолий Константинович,Ровнейко,Анатолий,Константинович,M,0,1962,индивидуальный предприниматель,член Либерально-демократической партии,член Либерально-демократической партии,политическая партия,г. Витебск,г. Витебск,/candidates/030-4.html,Сенненский избирательный округ,30,58786,6,Витебская область
Старовойтов Александр Геннадьевич,Старовойтов,Александр,Геннадьевич,M,1,1984,"менеджер ООО «АнгардКонсалт», юрисконсульт ООО «Сити Слот»",член Республиканской партии,член Республиканской партии,политическая партия,"д. Высочаны, Лиозненский район","д. Высочаны, Лиозненский район",/candidates/030-5.html,Сенненский избирательный округ,30,58786,6,Витебская область
Чемурако Михаил Анатольевич,Чемурако,Михаил,Анатольевич,M,0,1983,индивидуальный предприниматель,член Объединенной гражданской партии,член Объединенной гражданской партии,политическая партия,г. Дубровно,г. Дубровно,/candidates/030-6.html,Сенненский избирательный округ,30,58786,6,Витебская область
Ганцевич Юрий Михайлович,Ганцевич,Юрий,Михайлович,M,0,1976,субъект агроэкотуризма усадьба «На воде»,беспартийный,не состоит в партии,сбор подписей избирателей,"аг. Поколюбичи, Гомельский район","аг. Поколюбичи, Гомельский район",/candidates/031-1.html,Гомельский-Юбилейный избирательный округ,31,68450,4,Гомельская область
Гапоненко Сергей Олегович,Гапоненко,Сергей,Олегович,M,0,1985,научный сотрудник лаборатории моделирования и минимизации антропогенных рисков ГНУ «Институт радиобиологии НАН Беларуси»,член Либерально-демократической партии,член Либерально-демократической партии,политическая партия,г. Гомель,г. Гомель,/candidates/031-2.html,Гомельский-Юбилейный избирательный округ,31,68450,4,Гомельская область
Уткин Виталий Юрьевич,Уткин,Виталий,Юрьевич,M,0,1965,глава администрации Железнодорожного района г.Гомеля,беспартийный,не состоит в партии,"сбор подписей избирателей, трудовой коллектив",г. Гомель,г. Гомель,/candidates/031-3.html,Гомельский-Юбилейный избирательный округ,31,68450,4,Гомельская область
Фесенко Владислав Алексеевич,Фесенко,Владислав,Алексеевич,M,0,1985,директор СООО «ПСМ-Гидравлика РБ»,член Республиканской партии труда и справедливости,член Республиканской партии труда и справедливости,политическая партия,г. Гомель,г. Гомель,/candidates/031-4.html,Гомельский-Юбилейный избирательный округ,31,68450,4,Гомельская область
Данченко Александр Михайлович,Данченко,Александр,Михайлович,M,0,1964,начальник управления безопасности ОАО «Гомельский завод литья и нормалей»,беспартийный,не состоит в партии,"сбор подписей избирателей, трудовой коллектив",г. Гомель,г. Гомель,/candidates/032-1.html,Гомельский-Сельмашевский избирательный округ,32,67298,4,Гомельская область
Кацора Владимир Александрович,Кацора,Владимир,Александрович,M,0,1957,пенсионер,член Объединенной гражданской партии,член Объединенной гражданской партии,политическая партия,г. Гомель,г. Гомель,/candidates/032-2.html,Гомельский-Сельмашевский избирательный округ,32,67298,4,Гомельская область
Клезович Нина Владимировна,Клезович,Нина,Владимировна,F,0,1963,директор ГУО «Средняя школа №25 г.Гомеля им. Б.А.Царикова»,член Республиканской партии труда и справедливости,член Республиканской партии труда и справедливости,политическая партия,г. Гомель,г. Гомель,/candidates/032-3.html,Гомельский-Сельмашевский избирательный округ,32,67298,4,Гомельская область
Романов Василий Васильевич,Романов,Василий,Васильевич,M,0,1962,временно не работает,член Партии БНФ,член Партии БНФ,политическая партия,г. Гомель,г. Гомель,/candidates/032-4.html,Гомельский-Сельмашевский избирательный округ,32,67298,4,Гомельская область
Дороненков Михаил Иванович,Дороненков,Михаил,Иванович,M,0,1959,председатель ПСК «ПСК-Рубин»,член Либерально-демократической партии,член Либерально-демократической партии,политическая партия,г. Гомель,г. Гомель,/candidates/033-1.html,Гомельский-Центральный избирательный округ,33,68826,6,Гомельская область
Дубодел Павел Алексеевич,Дубодел,Павел,Алексеевич,M,0,1958,начальник службы охраны филиала «Жилищно-коммунальное управление» Ордена Трудового Красного Знамени ОАО «Гомельпромстрой»,беспартийный,не состоит в партии,сбор подписей избирателей,г. Гомель,г. Гомель,/candidates/033-2.html,Гомельский-Центральный избирательный округ,33,68826,6,Гомельская область
Засуский Николай Алексеевич,Засуский,Николай,Алексеевич,M,0,1952,пенсионер,член Белорусской партии левых «Справедливый мир»,член Белорусской партии левых «Справедливый мир»,политическая партия,г. Гомель,г. Гомель,/candidates/033-3.html,Гомельский-Центральный избирательный округ,33,68826,6,Гомельская область
Злотников Андрей Анатольевич,Злотников,Андрей,Анатольевич,M,0,1970,заместитель декана юридического факультета УО «Гомельский государственный университет им.Ф.Скорины»,член Республиканской партии труда и справедливости,член Республиканской партии труда и справедливости,"сбор подписей избирателей, политическая партия",г. Гомель,г. Гомель,/candidates/033-4.html,Гомельский-Центральный избирательный округ,33,68826,6,Гомельская область
Непомнящих Владимир Михайлович,Непомнящих,Владимир,Михайлович,M,0,1952,пенсионер МВД,член Объединенной гражданской партии,член Объединенной гражданской партии,политическая партия,г. Гомель,г. Гомель,/candidates/033-5.html,Гомельский-Центральный избирательный округ,33,68826,6,Гомельская область
Раков Олег Иванович,Раков,Олег,Иванович,M,0,1976,директор ГУ «Гомельская городская специализированная детско-юношеская школа олимпийского резерва № 8 г.Гомеля»,беспартийный,не состоит в партии,трудовой коллектив,г. Гомель,г. Гомель,/candidates/033-6.html,Гомельский-Центральный избирательный округ,33,68826,6,Гомельская область
Борисов Виктор Павлович,Борисов,Виктор,Павлович,M,0,1961,начальник отдела маркетинга и рекламы ОАО «Кирмаш»,член Республиканской партии труда и справедливости,член Республиканской партии труда и справедливости,политическая партия,г. Гомель,г. Гомель,/candidates/034-1.html,Гомельский-Советский избирательный округ,34,68673,4,Гомельская область
Довгало Ирина Викторовна,Довгало,Ирина,Викторовна,F,0,1967,"начальник главного управления идеологической работы, культуры и по делам молодежи Гомельского облисполкома",беспартийная,не состоит в партии,сбор подписей избирателей,г. Гомель,г. Гомель,/candidates/034-2.html,Гомельский-Советский избирательный округ,34,68673,4,Гомельская область
Игнатенко Ольга Ивановна,Игнатенко,Ольга,Ивановна,F,0,1960,юрист ОАО «Экологика»,член Либерально-демократической партии,член Либерально-демократической партии,политическая партия,г. Гомель,г. Гомель,/candidates/034-3.html,Гомельский-Советский избирательный округ,34,68673,4,Гомельская область
